                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4148,                 3.8487,                 1.9323,                0.01182,                      1,                0.05561,                0.04307,                0.91628,                 3.3394,                 1.1772,              2.142e-05,              2.142e-05,              2.142e-05
                      2,                 1.2125,                 3.8048,                 1.7717,                0.01202,                      1,                0.06265,                 0.0444,                0.73516,                 3.3384,                 1.0548,             4.9931e-05,             4.9931e-05,             4.9931e-05
                      3,                 0.9619,                 3.6844,                 1.6427,                0.01051,                      1,                0.21093,                 0.0731,                0.49413,                 3.3394,                0.83657,             7.8384e-05,             7.8384e-05,             7.8384e-05
                      4,                0.71192,                 3.5659,                 1.4454,                0.01079,                      1,                0.58042,                0.14197,                0.42421,                 3.3403,                0.73234,             0.00010678,             0.00010678,             0.00010678
                      5,                0.65507,                 3.4632,                 1.3879,                0.01082,                      1,                0.22664,                 0.1021,                0.39888,                 3.3384,                0.70023,             0.00013512,             0.00013512,             0.00013512
                      6,                0.52332,                 3.4431,                  1.304,                0.01111,                      1,                0.52514,                0.19063,                0.41755,                 3.3314,                0.72384,             0.00016341,             0.00016341,             0.00016341
                      7,                0.51853,                 3.3351,                 1.2913,                 0.0108,                      1,                0.35931,                0.11648,                0.42106,                 3.3199,                0.70907,             0.00019163,             0.00019163,             0.00019163
                      8,                0.49493,                  3.263,                 1.2681,                0.01016,                      1,                0.15517,                0.10197,                0.45649,                 3.3168,                0.70691,             0.00021981,             0.00021981,             0.00021981
                      9,                0.50149,                 3.1412,                 1.2622,                0.00986,                      1,                0.12924,                0.11264,                0.39063,                 3.2959,                0.55911,             0.00024792,             0.00024792,             0.00024792
                     10,                0.54003,                 2.9944,                 1.2694,                0.00926,                      1,                0.21927,                0.19402,                0.20983,                 3.2922,                0.42439,             0.00027598,             0.00027598,             0.00027598
                     11,                0.48805,                 2.8537,                 1.2671,                0.00848,                      1,                0.51192,                0.40849,                0.14603,                 3.2841,                0.35738,             0.00030398,             0.00030398,             0.00030398
                     12,                0.48827,                 2.7015,                 1.2073,                0.00805,                      1,                0.55278,                0.54172,                 0.1703,                 3.1892,                0.33706,             0.00033193,             0.00033193,             0.00033193
                     13,                0.50604,                 2.6697,                 1.2384,                 0.0079,                      1,                0.56383,                 0.5572,                0.19241,                 3.0289,                0.38942,             0.00035981,             0.00035981,             0.00035981
                     14,                0.40843,                 2.4478,                 1.1644,                0.00803,                      1,                0.60806,                0.56383,                0.22416,                 2.9725,                0.44708,             0.00038765,             0.00038765,             0.00038765
